Player,Valoration,Game_Day
Sergio Llull,0.023,2022-04-10
Alberto Abalde,0.051,2022-04-10
Anthony Randolph,0,2022-04-10
Jeffery Taylor,0.15,2022-04-10
Fabien Causeur,0.024,2022-04-10
Sergio Llull,0.297,2022-04-13
Fabien Causeur,0.155,2022-04-13
Gabriel Deck,0.126,2022-04-13
Anthony Randolph,0,2022-04-13
Walter Tavares,0.096,2022-04-13
Adam Hanga,0.091,2022-04-13
Guerschon Yabusele,0.052,2022-04-13
Nigel Williams-Goss,0,2022-04-13
Jeffery Taylor,0,2022-04-13
Vincent Poirier,0,2022-04-13
Alberto Abalde,0,2022-04-13
Gabriel Deck,0.132,2022-04-17
Nigel Williams-Goss,0.1,2022-04-17
Walter Tavares,0.067,2022-04-17
Guerschon Yabusele,0.238,2022-04-17
Anthony Randolph,0.039,2022-04-17
Alberto Abalde,0.175,2022-04-17
Vincent Poirier,0,2022-04-17
Rudy Fernandez,0.004,2022-04-17
Fabien Causeur,0.068,2022-04-17
Sergio Llull,0.373,2022-04-17
Juan Nunez,0.077,2022-04-17
Fabien Causeur,0.271,2022-04-20
Guerschon Yabusele,0.266,2022-04-20
Rudy Fernandez,-0.224,2022-04-20
Nigel Williams-Goss,-0.055,2022-04-20
Adam Hanga,0.011,2022-04-20
Alberto Abalde,0,2022-04-20
Walter Tavares,0.128,2022-04-20
Anthony Randolph,-0.3,2022-04-20
Vincent Poirier,0,2022-04-20
Sergio Llull,-0.038,2022-04-20
Jeffery Taylor,0,2022-04-20
Sergio Llull,0.032,2022-04-22
Vincent Poirier,0.139,2022-04-22
Guerschon Yabusele,0.14,2022-04-22
Adam Hanga,0.5,2022-04-22
Nigel Williams-Goss,0.253,2022-04-22
Walter Tavares,0.153,2022-04-22
Alberto Abalde,0.7,2022-04-22
Fabien Causeur,0.134,2022-04-22
Anthony Randolph,0,2022-04-22
Rudy Fernandez,0.186,2022-04-22
Juan Nunez,0.076,2022-04-22
Guerschon Yabusele,0.086,2022-04-24
Nigel Williams-Goss,0.125,2022-04-24
Walter Tavares,0.005,2022-04-24
Sergio Llull,0.1,2022-04-24
Adam Hanga,0.2,2022-04-24
Alberto Abalde,0,2022-04-24
Vincent Poirier,0,2022-04-24
Anthony Randolph,0,2022-04-24
Juan Nunez,-0.037,2022-04-24
Fabien Causeur,0.203,2022-04-24
Sergio Llull,0.097,2022-04-26
Guerschon Yabusele,0.131,2022-04-26
Vincent Poirier,0.22,2022-04-26
Walter Tavares,0.202,2022-04-26
Nigel Williams-Goss,0.194,2022-04-26
Adam Hanga,0.276,2022-04-26
Alberto Abalde,0,2022-04-26
Fabien Causeur,0.062,2022-04-26
Rudy Fernandez,0.138,2022-04-26
Anthony Randolph,0,2022-04-26
