,Player,Points,Rebounds,Assists,Turnovers,Steals,Blocked_shots
7,Gabriel Deck,3,0,0,0,0,0
8,Jeffery Taylor,0,0,0,1,1,0
9,Rudy Fernandez,0,3,2,2,1,0
0,Gabriel Deck,12,5,1,1,2,0
1,Fabien Causeur,12,2,4,2,1,0
2,Guerschon Yabusele,12,4,2,1,0,0
3,Sergio Llull,12,1,5,2,0,0
4,Walter Tavares,8,2,3,2,0,0
5,Jeffery Taylor,8,0,2,0,0,0
6,Adam Hanga,6,2,4,0,0,0
7,Alberto Abalde,6,0,1,1,1,0
8,Anthony Randolph,4,2,1,0,1,0
9,Rudy Fernandez,3,2,2,1,0,0
10,Nigel Williams-Goss,3,0,0,0,0,0
11,Vincent Poirier,2,1,2,1,0,1
0,Gabriel Deck,17,4,2,1,0,0
1,Vincent Poirier,14,6,1,1,1,1
2,Walter Tavares,14,5,0,1,0,1
3,Guerschon Yabusele,13,3,0,0,2,2
4,Adam Hanga,11,2,3,3,2,0
5,Sergio Llull,10,2,3,0,0,0
6,Alberto Abalde,7,1,4,2,1,0
7,Anthony Randolph,4,2,1,0,2,0
8,Jeffery Taylor,4,3,0,0,1,0
9,Fabien Causeur,3,1,0,3,2,0
0,Sergio Llull,22,1,0,1,0,0
1,Fabien Causeur,13,1,1,2,1,0
2,Gabriel Deck,8,9,1,2,0,0
3,Anthony Randolph,7,5,0,0,0,0
4,Walter Tavares,6,9,2,2,1,1
5,Adam Hanga,3,3,1,0,1,0
6,Guerschon Yabusele,3,2,2,3,0,0
7,Nigel Williams-Goss,2,1,1,1,2,0
8,Jeffery Taylor,2,3,0,1,0,0
9,Vincent Poirier,1,5,0,0,0,1
10,Alberto Abalde,0,2,0,1,0,0
0,Gabriel Deck,15,7,2,1,0,0
1,Nigel Williams-Goss,14,4,4,2,1,0
2,Walter Tavares,13,4,0,0,1,3
3,Guerschon Yabusele,13,1,2,2,1,1
4,Anthony Randolph,13,0,0,0,1,2
5,Alberto Abalde,10,1,4,3,2,0
6,Vincent Poirier,4,8,1,0,1,2
7,Rudy Fernandez,3,4,1,0,2,0
8,Fabien Causeur,3,1,2,0,0,0
9,Sergio Llull,2,4,7,2,0,0
10,Juan Nunez,0,0,1,0,0,0
0,Fabien Causeur,20,4,5,1,1,0
1,Guerschon Yabusele,15,4,1,4,1,0
2,Rudy Fernandez,12,3,1,0,1,0
3,Nigel Williams-Goss,11,4,8,2,1,0
4,Adam Hanga,11,2,0,1,1,1
5,Alberto Abalde,6,1,1,1,0,0
6,Walter Tavares,4,6,0,3,0,2
7,Anthony Randolph,3,2,0,0,0,0
8,Vincent Poirier,2,1,1,2,0,2
9,Sergio Llull,0,0,3,0,0,0
