,Player,Puntos,Rebotes,Asistencias,Perdidas,Robos,Tapones
7,Adam Hanga,0.04255,0.0,0.25,0.0,0.14286,0.0
8,Anthony Randolph,0.0,0.03125,0.0,0.0,0.0,0.0
9,Jeffery Taylor,0.0,0.0,0.08333,0.0,0.0,0.0
10,Nigel Williams-Goss,0.0,0.09375,0.16667,0.0,0.14286,0.0
11,Juan Nunez,0.0,0.0,0.0,0.07143,0.0,0.0
0,Walter Tavares,0.22222,0.14815,0.0625,0.1,0.14286,0.4
1,Thomas Heurtel,0.125,0.03704,0.5,0.2,0.0,0.0
2,Rudy Fernandez,0.11111,0.03704,0.125,0.1,0.42857,0.0
3,Gabriel Deck,0.11111,0.18519,0.0,0.1,0.0,0.0
4,Sergio Llull,0.08333,0.03704,0.0625,0.1,0.14286,0.0
5,Adam Hanga,0.06944,0.07407,0.0,0.0,0.0,0.4
6,Guerschon Yabusele,0.06944,0.14815,0.0,0.2,0.28571,0.0
7,Anthony Randolph,0.05556,0.0,0.0625,0.0,0.0,0.0
8,Nigel Williams-Goss,0.05556,0.07407,0.125,0.1,0.0,0.0
9,Jeffery Taylor,0.04167,0.07407,0.0,0.1,0.0,0.0
10,Vincent Poirier,0.02778,0.07407,0.0,0.0,0.0,0.2
11,Alberto Abalde,0.02778,0.11111,0.0625,0.0,0.0,0.0
0,Sergio Llull,0.32258,0.02381,0.05,0.125,0.0,0.0
1,Walter Tavares,0.17742,0.2619,0.1,0.1875,0.0,0.0
2,Guerschon Yabusele,0.12903,0.09524,0.0,0.1875,0.25,0.33333
3,Trey Thompkins,0.09677,0.09524,0.05,0.125,0.25,0.33333
4,Alberto Abalde,0.08065,0.11905,0.0,0.0,0.0,0.0
5,Adam Hanga,0.06452,0.11905,0.25,0.0625,0.0,0.0
6,Vincent Poirier,0.06452,0.07143,0.15,0.0625,0.0,0.33333
7,Thomas Heurtel,0.03226,0.09524,0.25,0.125,0.25,0.0
8,Nigel Williams-Goss,0.03226,0.07143,0.05,0.0625,0.0,0.0
9,Rudy Fernandez,0.0,0.04762,0.1,0.0625,0.25,0.0
0,Sergio Llull,0.21739,0.08108,0.13333,0.1,0.0,0.0
1,Guerschon Yabusele,0.17391,0.08108,0.06667,0.1,0.25,0.0
2,Gabriel Deck,0.16304,0.16216,0.06667,0.2,0.25,0.0
3,Nigel Williams-Goss,0.13043,0.10811,0.2,0.1,0.0,0.0
4,Thomas Heurtel,0.08696,0.02703,0.13333,0.1,0.25,0.0
5,Walter Tavares,0.06522,0.24324,0.2,0.0,0.0,0.0
6,Vincent Poirier,0.04348,0.10811,0.0,0.1,0.0,1.0
7,Trey Thompkins,0.04348,0.02703,0.0,0.2,0.0,0.0
8,Alberto Abalde,0.03261,0.0,0.0,0.1,0.0,0.0
9,Rudy Fernandez,0.02174,0.16216,0.2,0.0,0.25,0.0
10,Adam Hanga,0.02174,0.0,0.0,0.0,0.0,0.0
0,Guerschon Yabusele,0.23529,0.02564,0.0,0.09091,0.0,0.0
1,Alberto Abalde,0.15294,0.10256,0.04348,0.09091,0.0,0.0
2,Vincent Poirier,0.14118,0.25641,0.08696,0.0,0.0,0.25
3,Anthony Randolph,0.11765,0.05128,0.0,0.0,0.33333,0.5
4,Gabriel Deck,0.08235,0.17949,0.26087,0.09091,0.33333,0.0
5,Adam Hanga,0.08235,0.17949,0.17391,0.0,0.0,0.0
6,Walter Tavares,0.07059,0.12821,0.0,0.09091,0.0,0.25
7,Sergio Llull,0.07059,0.02564,0.08696,0.09091,0.0,0.0
8,Thomas Heurtel,0.04706,0.02564,0.26087,0.45455,0.33333,0.0
9,Juan Nunez,0.0,0.02564,0.08696,0.09091,0.0,0.0
0,Rudy Fernandez,0.24286,0.10204,0.23529,0.0,0.0,0.0
1,Guerschon Yabusele,0.17143,0.12245,0.05882,0.09091,0.0,0.5
2,Vincent Poirier,0.14286,0.2449,0.0,0.0,0.2,0.0
3,Sergio Llull,0.12857,0.02041,0.23529,0.09091,0.2,0.0
4,Gabriel Deck,0.11429,0.08163,0.0,0.09091,0.4,0.0
5,Walter Tavares,0.1,0.22449,0.0,0.27273,0.2,0.0
6,Thomas Heurtel,0.04286,0.0,0.41176,0.0,0.0,0.0
7,Adam Hanga,0.02857,0.08163,0.0,0.0,0.0,0.0
8,Anthony Randolph,0.02857,0.04082,0.0,0.09091,0.0,0.5
9,Nigel Williams-Goss,0.0,0.08163,0.05882,0.27273,0.0,0.0
10,Juan Nunez,0.0,0.0,0.0,0.09091,0.0,0.0
0,Gabriel Deck,0.28,0.14286,0.0,0.15789,0.0,0.0
1,Guerschon Yabusele,0.2,0.19048,0.08333,0.0,0.0,0.0
2,Rudy Fernandez,0.2,0.14286,0.25,0.15789,0.5,0.0
3,Walter Tavares,0.08,0.2381,0.16667,0.15789,0.25,1.0
4,Vincent Poirier,0.08,0.07143,0.0,0.05263,0.0,0.0
5,Sergio Llull,0.05333,0.04762,0.33333,0.05263,0.25,0.0
6,Anthony Randolph,0.04,0.07143,0.0,0.0,0.0,0.0
7,Thomas Heurtel,0.04,0.04762,0.08333,0.15789,0.0,0.0
8,Nigel Williams-Goss,0.02667,0.02381,0.08333,0.10526,0.0,0.0
9,Juan Nunez,0.0,0.02381,0.0,0.15789,0.0,0.0
0,Gabriel Deck,0.25556,0.37037,0.2,0.4,0.33333,0.0
1,Guerschon Yabusele,0.22222,0.18519,0.25,0.0,0.0,0.0
2,Adam Hanga,0.15556,0.07407,0.0,0.2,0.0,0.0
3,Nigel Williams-Goss,0.1,0.07407,0.35,0.0,0.0,0.0
4,Vincent Poirier,0.08889,0.11111,0.05,0.0,0.66667,0.25
5,Rudy Fernandez,0.06667,0.03704,0.0,0.0,0.0,0.25
6,Walter Tavares,0.05556,0.11111,0.05,0.2,0.0,0.5
7,Thomas Heurtel,0.05556,0.03704,0.1,0.2,0.0,0.0
8,Trey Thompkins,0.0,0.0,0.0,0.0,0.0,0.0
9,Anthony Randolph,0.0,0.0,0.0,0.0,0.0,0.0
0,Guerschon Yabusele,0.18919,0.15909,0.125,0.2,0.375,0.2
1,Vincent Poirier,0.17568,0.09091,0.04167,0.06667,0.25,0.0
2,Thomas Heurtel,0.14865,0.02273,0.20833,0.26667,0.0,0.0
3,Gabriel Deck,0.13514,0.13636,0.0,0.06667,0.0,0.0
4,Adam Hanga,0.10811,0.15909,0.08333,0.13333,0.125,0.4
5,Nigel Williams-Goss,0.09459,0.06818,0.16667,0.06667,0.0,0.0
6,Walter Tavares,0.08108,0.27273,0.08333,0.06667,0.0,0.4
7,Sergio Llull,0.04054,0.04545,0.125,0.06667,0.0,0.0
8,Rudy Fernandez,0.02703,0.02273,0.16667,0.0,0.25,0.0
9,Trey Thompkins,0.0,0.02273,0.0,0.06667,0.0,0.0
0,Thomas Heurtel,0.22826,0.1,0.27273,0.0,0.33333,0.0
1,Gabriel Deck,0.17391,0.25,0.09091,0.0,0.0,0.0
2,Walter Tavares,0.15217,0.2,0.04545,0.14286,0.0,0.33333
3,Guerschon Yabusele,0.15217,0.05,0.18182,0.14286,0.33333,0.16667
4,Vincent Poirier,0.08696,0.175,0.0,0.0,0.0,0.5
5,Jeffery Taylor,0.06522,0.05,0.0,0.14286,0.16667,0.0
6,Adam Hanga,0.05435,0.1,0.04545,0.14286,0.0,0.0
7,Nigel Williams-Goss,0.04348,0.05,0.0,0.14286,0.0,0.0
8,Rudy Fernandez,0.02174,0.0,0.04545,0.0,0.16667,0.0
9,Fabien Causeur,0.02174,0.025,0.04545,0.14286,0.0,0.0
10,Sergio Llull,0.0,0.0,0.27273,0.14286,0.0,0.0
11,Juan Nunez,0.0,0.0,0.0,0.0,0.0,0.0
0,Thomas Heurtel,0.2093,0.12121,0.0,0.4,0.0,0.0
1,Sergio Llull,0.17442,0.0,0.29412,0.0,0.25,0.0
2,Walter Tavares,0.13953,0.36364,0.11765,0.0,0.5,0.5
3,Gabriel Deck,0.13953,0.09091,0.0,0.3,0.0,0.0
4,Rudy Fernandez,0.10465,0.12121,0.35294,0.0,0.0,0.5
5,Trey Thompkins,0.09302,0.06061,0.11765,0.0,0.0,0.0
6,Vincent Poirier,0.06977,0.0,0.0,0.1,0.0,0.0
7,Jeffery Taylor,0.04651,0.06061,0.0,0.0,0.0,0.0
8,Fabien Causeur,0.02326,0.0,0.0,0.0,0.0,0.0
9,Guerschon Yabusele,0.0,0.18182,0.05882,0.2,0.25,0.0
10,Nigel Williams-Goss,0.0,0.0,0.05882,0.0,0.0,0.0
0,Sergio Llull,0.22034,0.0625,0.0,0.16667,0.0,0.0
1,Guerschon Yabusele,0.22034,0.125,0.1,0.25,0.0,0.125
2,Fabien Causeur,0.18644,0.03125,0.1,0.33333,0.5,0.0
3,Walter Tavares,0.10169,0.3125,0.1,0.0,0.0,0.75
4,Thomas Heurtel,0.08475,0.0625,0.4,0.0,0.0,0.0
5,Nigel Williams-Goss,0.0678,0.1875,0.1,0.0,0.0,0.125
6,Vincent Poirier,0.0678,0.125,0.0,0.0,0.0,0.0
7,Gabriel Deck,0.05085,0.0,0.0,0.0,0.0,0.0
8,Jeffery Taylor,0.0,0.0,0.0,0.08333,0.25,0.0
9,Rudy Fernandez,0.0,0.09375,0.2,0.16667,0.25,0.0
0,Gabriel Deck,0.13636,0.2381,0.03704,0.09091,0.4,0.0
1,Fabien Causeur,0.13636,0.09524,0.14815,0.18182,0.2,0.0
2,Guerschon Yabusele,0.13636,0.19048,0.07407,0.09091,0.0,0.0
3,Sergio Llull,0.13636,0.04762,0.18519,0.18182,0.0,0.0
4,Walter Tavares,0.09091,0.09524,0.11111,0.18182,0.0,0.0
5,Jeffery Taylor,0.09091,0.0,0.07407,0.0,0.0,0.0
6,Adam Hanga,0.06818,0.09524,0.14815,0.0,0.0,0.0
7,Alberto Abalde,0.06818,0.0,0.03704,0.09091,0.2,0.0
8,Anthony Randolph,0.04545,0.09524,0.03704,0.0,0.2,0.0
9,Rudy Fernandez,0.03409,0.09524,0.07407,0.09091,0.0,0.0
10,Nigel Williams-Goss,0.03409,0.0,0.0,0.0,0.0,0.0
11,Vincent Poirier,0.02273,0.04762,0.07407,0.09091,0.0,1.0
0,Gabriel Deck,0.17526,0.13793,0.14286,0.09091,0.0,0.0
1,Vincent Poirier,0.14433,0.2069,0.07143,0.09091,0.09091,0.25
2,Walter Tavares,0.14433,0.17241,0.0,0.09091,0.0,0.25
3,Guerschon Yabusele,0.13402,0.10345,0.0,0.0,0.18182,0.5
4,Adam Hanga,0.1134,0.06897,0.21429,0.27273,0.18182,0.0
5,Sergio Llull,0.10309,0.06897,0.21429,0.0,0.0,0.0
